"Title","Writer","Series","Price","Pagenum","Reviewcount","Score","Sellnum","Novel_X","Novel_Korea","Novel_United","Novel_Japan","Novel_China","Novel_SpainLatin","Novel_France","Novel_Germany","Novel_Russia","Novel_Italy","Novel_EEurope","Novel_NEurope","Novel_EtcCountry","Novel_WriterSelect","Genre_Mystery","Genre_Horror","Genre_Fantasy","Genre_Martialart","Genre_SF","Genre_Thriller","Genre_History","Genre_X","n"
"메이즈 러너","제임스 대시너","X",13320,544,27,8,16296,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"메이즈 러너 3부작 세트","","X",39960,1532,65,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"메이즈 헌터 5","이한빈","X",7200,310,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"메이즈 헌터 6","이한빈","X",7200,304,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"메이즈 헌터 7","이한빈","X",7200,304,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"메이크 미","리 차일드","X",12600,572,12,8,321,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"메종","이찬옥","X",10800,195,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"메탈기어 솔리드 건즈 오브 더 패트리어트","이토 케이카쿠","X",11700,560,0,0,372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"메트로 2033 (METRO 2033)","김하락 역","X",13320,576,9,7,4146,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"메트로 2033 (METRO 2033) + 메트로 2034 (METRO 2034) 세트","드미트리 글루코프스키","X",25740,976,17,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"메트로 2033 유니버스","세르게이 안토노프","X",12420,320,3,6,396,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
