"Title","Writer","Series","Price","Pagenum","Reviewcount","Score","Sellnum","Novel_X","Novel_Korea","Novel_United","Novel_Japan","Novel_China","Novel_SpainLatin","Novel_France","Novel_Germany","Novel_Russia","Novel_Italy","Novel_EEurope","Novel_NEurope","Novel_EtcCountry","Novel_WriterSelect","Genre_Mystery","Genre_Horror","Genre_Fantasy","Genre_Martialart","Genre_SF","Genre_Thriller","Genre_History","Genre_X"
"은하영웅전설 완전판 외전 1",1526,12,10800,1,3,8,291,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하영웅전설 완전판 외전 2",1526,12,10800,1,1,8,192,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하영웅전설 완전판 외전 3",1526,12,10800,1,1,8,228,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하영웅전설 완전판 외전 4",1526,12,10800,1,1,8,180,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하영웅전설 완전판 외전 5",1526,12,10800,1,1,8,219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"은하철도 저 너머에",1582,12,15300,460,2,8,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"은하철도 쿠팡맨",5314,12,3600,86,0,0,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"은하철도의 밤",2558,12,6615,152,4.5,3.5,54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"은하철도의 밤 (한국어판)",2558,12,8820,288,7,8,2118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"은합을 열다 ",508,12,10800,264,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"은행나무 소년 1 (큰글자도서)",6019,12,19000,156,0,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"은행나무 소년 2 (큰글자도서)",6019,12,19000,160,0,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"은행나무숲",5921,12,12420,352,0,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"을밀 1",1043,12,10800,452,1,8,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"을밀 2",1043,12,10800,456,1,10,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"을의 노래 ",5973,12,12600,380,8,8,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"을지문덕전",3795,12,9000,316,1,9,198,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"음공의 대가 1",5709,12,7200,294,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"음공의 대가 2",5709,12,7200,288,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"음공의 대가 3",5709,12,7200,286,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"음공의 대가 4",5709,12,7200,307,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"음공의 대가 5",5709,12,7200,301,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"음공의 대가 6",5709,12,7200,304,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"음공의 대가 7",5709,12,7200,303,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"음빙실문집",1818,12,24100,218,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"음식남녀 상열심사",902,12,9000,208,2,9,240,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"음악 속으로",3462,12,13500,560,3,8,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"음악 이전의 책",1199,12,9000,186,0,0,336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"음악 중매",4975,12,12160,524,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"음악 혐오",7302,12,16020,304,10,8,2304,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"음악의 신 1",5594,12,7200,316,1,8,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"음악의 신 10",5594,12,7200,275,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"음악의 신 11",5594,12,7200,295,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"음악의 신 12",5594,12,7200,285,0,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"음악의 신 13",5594,12,7200,300,0,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"음악의 신 14",5594,12,7200,310,0,0,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"음악의 신 15",5594,12,7200,320,0,0,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"음악의 신 16",5594,12,7200,320,0,0,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"음악의 신 17",5594,12,7200,270,0,0,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"음악의 신 18",5594,12,7200,270,0,0,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"음악의 신 19",5594,12,7200,280,0,0,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"음악의 신 2",5594,12,7200,306,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"음악의 신 9",5594,12,7200,275,0,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"음양사 (상)",4918,12,5000,336,2,8,621,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"음양사 (하)",4918,12,5000,336,3,8,579,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"음울한 짐승",4373,12,6120,341,13,6,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"음유시인 비들 이야기",93,12,7650,152,2,10,2814,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"음의 방정식",2554,12,9000,132,59,6,462,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"응달 너구리",5353,12,11700,346,0,0,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"응답하라 1994",4622,12,12600,364,20,8,948,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"응답하라 1997",2795,12,11700,352,26,8,900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"응답하라 필승",927,12,15000,304,0,0,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"응답하라! 사랑아! 결혼아!",5460,12,10800,271,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"응징",6052,12,10800,240,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"의뢰인",6459,55,10800,704,7,8,526,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"의문의 강",2943,12,15300,586,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"의사 10",5647,12,7200,304,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의사 4",5647,12,7200,304,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의사 5",5647,12,7200,304,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의사 6",5647,12,7200,304,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의사 7",5647,12,7200,304,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의사 8",5647,12,7200,320,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의사 9",5647,12,7200,304,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의사 지바고",7303,12,7200,464,1,5,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"의사와 간호원의 아름다운 이야기",12,12,10800,235,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"의선사겁 1",5697,12,7200,300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의선사겁 2",5697,12,7200,300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의선사겁 3",5697,12,7200,300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의선사겁 4",5697,12,7200,300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의선사겁 5",5697,12,7200,280,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의선사겁 6",5697,12,7200,300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의선사겁 7",5697,12,7200,300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의선사겁 8",5697,12,7200,292,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의순공주",3415,12,11700,232,3,7,216,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"의술의 신 10",7193,12,7200,317,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의술의 신 11",7193,12,7200,315,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의술의 신 12",7193,12,7200,332,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의술의 신 7",7193,12,7200,323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의술의 신 8",7193,12,7200,318,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의술의 신 9",7193,12,7200,308,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의술의 탑 1",7657,12,7200,304,0,0,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의술의 탑 2",7657,12,7200,304,0,0,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의술의 탑 3",7657,12,7200,304,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의술의 탑 4",7657,12,7200,304,0,0,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의술의 탑 5",7657,12,7200,304,0,0,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의술의 탑 6",7657,12,7200,304,0,0,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의술의 탑 7",7657,12,7200,304,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"의식",3449,12,10800,284,0,0,450,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"의심",71,12,8550,375,2,6,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"의열단",7417,12,14250,450,0,0,144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"의원강호 1",613,12,7200,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 11",613,12,7200,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
